Datetime,Lat.,Lon.,Total_SO2,OMTO3_O3,DateforKepler
20130607T045815430Z,31.27,121.03,1.192,282.269,2013/06/07 04:58:15.430
20130607T045822918Z,31.71,120.9,0.002,284.85400000000004,2013/06/07 04:58:22.918
20130607T045800453Z,30.43,121.52,0.5670000000000001,281.54900000000004,2013/06/07 04:58:00.453
20130607T045807942Z,30.87,121.4,0.542,282.421,2013/06/07 04:58:07.942
20130607T045815430Z,31.31,121.28,-0.39299999999999996,283.212,2013/06/07 04:58:15.430
20130607T045822918Z,31.75,121.15,0.011000000000000001,286.741,2013/06/07 04:58:22.918
20130607T045800453Z,30.49,121.92,-0.05,282.43,2013/06/07 04:58:00.453
20130607T045807942Z,30.93,121.8,0.027000000000000003,282.444,2013/06/07 04:58:07.942
20130607T045815430Z,31.37,121.68,-0.201,285.33299999999997,2013/06/07 04:58:15.430
20130607T045822918Z,31.81,121.55,0.09,287.809,2013/06/07 04:58:22.918
20130607T045807942Z,31.0,122.3,-0.026000000000000002,279.85,2013/06/07 04:58:07.942
20130607T045815430Z,31.44,122.18,0.11599999999999999,281.454,2013/06/07 04:58:15.430
20130607T045822918Z,31.87,122.06,0.068,280.603,2013/06/07 04:58:22.918
20130608T043915412Z,30.65,122.26,0.042,337.87,2013/06/08 04:39:15.412
20130608T043922900Z,31.08,122.12,0.059000000000000004,330.374,2013/06/08 04:39:22.900
20130608T043930388Z,31.51,121.98,-0.006,340.81,2013/06/08 04:39:30.388
20130608T043937877Z,31.95,121.84,0.054000000000000006,345.329,2013/06/08 04:39:37.877
20130608T043922900Z,30.73,120.91,0.22399999999999998,335.31,2013/06/08 04:39:22.900
20130608T043930388Z,31.17,120.77,0.19,333.52,2013/06/08 04:39:30.388
20130608T043937877Z,31.6,120.62,0.096,331.73,2013/06/08 04:39:37.877
20130608T043915412Z,30.49,121.68,0.28800000000000003,333.085,2013/06/08 04:39:15.412
20130608T043922900Z,30.92,121.53,0.049,335.81199999999995,2013/06/08 04:39:22.900
20130608T043930388Z,31.35,121.39,0.071,338.538,2013/06/08 04:39:30.388
20130608T043937877Z,31.78,121.24,0.14300000000000002,333.39300000000003,2013/06/08 04:39:37.877
20130610T054228429Z,30.68,120.77,-0.01,301.25,2013/06/10 05:42:28.429
20130610T054235917Z,31.11,120.69,0.042,301.07099999999997,2013/06/10 05:42:35.917
20130610T054243406Z,31.55,120.62,-0.063,297.841,2013/06/10 05:42:43.406
20130611T052319941Z,30.7,120.8,-0.14400000000000002,303.26099999999997,2013/06/11 05:23:19.941
20130611T052327430Z,31.14,120.7,-0.149,298.259,2013/06/11 05:23:27.430
20130611T052334918Z,31.58,120.61,0.040999999999999995,296.66,2013/06/11 05:23:34.918
20130611T052319941Z,30.68,121.56,0.298,300.742,2013/06/11 05:23:19.941
20130611T052327430Z,31.12,121.47,0.825,297.704,2013/06/11 05:23:27.430
20130611T052334918Z,31.56,121.38,0.507,295.45099999999996,2013/06/11 05:23:34.918
20130611T052342406Z,32.0,121.29,0.051,292.939,2013/06/11 05:23:42.406
20130611T052327430Z,31.08,122.31,-0.008,300.409,2013/06/11 05:23:27.430
20130611T052334918Z,31.52,122.23,-0.04,299.505,2013/06/11 05:23:34.918
20130612T050418944Z,30.47,120.87,1.003,293.099,2013/06/12 05:04:18.944
20130612T050426432Z,30.91,120.75,0.099,296.623,2013/06/12 05:04:26.432
20130612T050433921Z,31.35,120.63,0.20600000000000002,292.91,2013/06/12 05:04:33.921
20130612T050418944Z,30.53,121.38,-0.136,298.64599999999996,2013/06/12 05:04:18.944
20130612T050426432Z,30.97,121.26,0.36700000000000005,298.45099999999996,2013/06/12 05:04:26.432
20130612T050433921Z,31.41,121.15,-0.038,298.186,2013/06/12 05:04:33.921
20130612T050441409Z,31.85,121.03,0.371,299.221,2013/06/12 05:04:41.409
20130612T050418944Z,30.59,121.9,-0.023,301.51599999999996,2013/06/12 05:04:18.944
20130612T050426432Z,31.03,121.78,0.006999999999999999,303.235,2013/06/12 05:04:26.432
20130612T050433921Z,31.47,121.67,0.136,302.81,2013/06/12 05:04:33.921
20130612T050441409Z,31.91,121.56,0.027999999999999997,303.376,2013/06/12 05:04:41.409
20130612T050426432Z,31.08,122.32,0.075,291.63599999999997,2013/06/12 05:04:26.432
20130612T050433921Z,31.52,122.21,-0.053,291.296,2013/06/12 05:04:33.921
20130613T044539413Z,30.88,120.62,-0.16,281.358,2013/06/13 04:45:39.413
20130613T044546902Z,31.32,120.48,0.511,281.319,2013/06/13 04:45:46.902
20130613T044531925Z,30.59,121.32,0.355,292.07099999999997,2013/06/13 04:45:31.925
20130613T044539413Z,31.03,121.18,0.191,290.828,2013/06/13 04:45:39.413
20130613T044546902Z,31.46,121.04,-0.732,289.19599999999997,2013/06/13 04:45:46.902
20130613T044554390Z,31.9,120.9,-0.39399999999999996,282.83799999999997,2013/06/13 04:45:54.390
20130613T044531925Z,30.72,121.86,0.054000000000000006,290.788,2013/06/13 04:45:31.925
20130613T044539413Z,31.16,121.72,-0.19899999999999998,295.151,2013/06/13 04:45:39.413
20130613T044546902Z,31.59,121.59,-0.129,296.358,2013/06/13 04:45:46.902
20130613T044554390Z,32.03,121.45,-0.527,286.45099999999996,2013/06/13 04:45:54.390
20130613T044531925Z,30.84,122.38,0.05,282.86400000000003,2013/06/13 04:45:31.925
20130613T044539413Z,31.27,122.25,-0.003,280.965,2013/06/13 04:45:39.413
20130613T044546902Z,31.71,122.12,0.182,278.329,2013/06/13 04:45:46.902
20130614T042701878Z,30.83,120.68,-0.07,300.788,2013/06/14 04:27:01.878
20130614T042709366Z,31.26,120.52,-0.085,307.57599999999996,2013/06/14 04:27:09.366
20130614T042654389Z,30.76,121.69,0.04,283.509,2013/06/14 04:26:54.389
20130614T042701878Z,31.19,121.53,-0.94,288.777,2013/06/14 04:27:01.878
20130614T042709366Z,31.61,121.37,-0.557,297.26599999999996,2013/06/14 04:27:09.366
20130614T042716854Z,32.04,121.21,0.11800000000000001,312.306,2013/06/14 04:27:16.854
20130614T042654389Z,31.05,122.46,0.198,275.617,2013/06/14 04:26:54.389
20130614T042701878Z,31.48,122.31,-0.7979999999999999,277.743,2013/06/14 04:27:01.878
20130617T051034450Z,30.39,120.93,-0.01,295.57,2013/06/17 05:10:34.450
20130617T051041938Z,30.83,120.82,0.439,294.994,2013/06/17 05:10:41.938
20130617T051049426Z,31.27,120.71,-0.015,294.41200000000003,2013/06/17 05:10:49.426
20130617T051056914Z,31.71,120.59,0.465,295.306,2013/06/17 05:10:56.914
20130617T051034450Z,30.43,121.48,0.462,297.21,2013/06/17 05:10:34.450
20130617T051041938Z,30.87,121.37,0.11900000000000001,298.798,2013/06/17 05:10:41.938
20130617T051049426Z,31.31,121.27,0.038,297.108,2013/06/17 05:10:49.426
20130617T051056914Z,31.75,121.16,0.11800000000000001,297.807,2013/06/17 05:10:56.914
