date,Direct Normal [W/m^2],Global Horiz [W/m^2],Diffuse Horiz (calc) [W/m^2],Avg Wind Direction @ 30ft [deg from N],Dry Bulb Temp [deg C],Global UVA [W/m^2],Global UVE [W/m^2],Global UVE [Index],Avg Wind Speed @ 30ft [m/s],Peak Wind Speed @ 30ft [m/s]
2020-259-1523,467.389,367.033,148.057,52.18,38.19,13.94,0.049,1.942,0.34,1.372
2020-259-1524,460.683,362.125,147.654,61.01,38.17,13.73,0.048,1.909,1.684,2.352
2020-259-1525,456.322,358.66,147.572,60.75,38.08,13.58,0.047,1.885,1.47,2.254
2020-259-1526,453.588,355.485,147.008,65.18,38.04,13.45,0.047,1.862,2.185,2.842
2020-259-1527,452.266,354.024,147.500,65.14,37.83,13.34,0.046,1.842,2.042,2.646
2020-259-1528,455.257,353.340,146.810,60.04,37.84,13.3,0.046,1.831,2.18,2.94
2020-259-1529,451.473,350.521,147.054,60.49,37.8,13.17,0.045,1.808,1.937,2.646
2020-259-1530,450.721,347.435,145.668,47.94,37.69,13.06,0.045,1.788,0.991,1.96
2020-259-1531,445.546,341.530,143.420,61.3,37.81,12.87,0.044,1.76,0.105,0.196
2020-259-1532,443.758,336.768,140.791,62.06,37.99,12.74,0.043,1.738,0.657,0.98
2020-259-1533,442.895,334.281,140.025,68.57,38.02,12.62,0.043,1.717,1.949,2.744
2020-259-1534,434.729,329.514,140.153,75.85,37.95,12.42,0.042,1.687,0.954,1.568
2020-259-1535,427.837,322.912,137.856,57.34,38.03,12.21,0.041,1.655,0.89,1.568
2020-259-1536,424.755,318.318,135.897,55.05,38.01,12.06,0.041,1.633,1.61,3.332
2020-259-1537,426.438,317.368,135.524,54.2,37.83,12,0.04,1.619,2.541,3.528
2020-259-1538,427.685,316.179,135.114,51.13,37.65,11.93,0.04,1.605,1.782,2.744
2020-259-1539,421.732,311.554,134.300,49.75,37.79,11.76,0.039,1.579,1.336,1.862
2020-259-1540,420.398,308.170,132.771,52.93,37.77,11.65,0.039,1.559,0.822,1.666
2020-259-1541,411.491,301.986,131.575,57.34,37.82,11.45,0.038,1.53,1.517,2.744
2020-259-1542,402.151,296.172,130.874,51.85,37.8,11.25,0.038,1.501,1.821,2.352
2020-259-1543,407.779,295.601,129.259,57.69,37.71,11.23,0.037,1.493,1.449,2.058
2020-259-1544,415.788,297.664,129.342,53.07,37.68,11.25,0.037,1.489,1.138,1.47
2020-259-1545,416.137,295.778,128.608,39.79,37.73,11.16,0.037,1.473,0.577,1.176
2020-259-1546,418.197,293.966,127.274,42.84,37.85,11.07,0.036,1.458,1.467,2.156
2020-259-1547,415.944,291.583,127.098,42.72,37.68,10.96,0.036,1.438,1.058,1.568
2020-259-1548,408.960,286.727,126.284,39.33,37.67,10.78,0.035,1.412,0.704,1.078
2020-259-1549,396.175,278.743,124.559,27.72,37.83,10.3,0.034,1.352,1.21,1.568
2020-259-1550,392.509,274.912,123.391,22.17,37.76,9.62,0.032,1.268,1.122,1.568
2020-259-1551,391.173,271.788,122.018,16.27,37.84,9.39,0.031,1.237,0.235,0.784
2020-259-1552,387.027,267.222,120.264,69.67,37.97,9.72,0.032,1.269,0.098,0.098
2020-259-1553,386.977,264.010,118.302,43.11,38.13,9.76,0.032,1.269,0.172,0.588
2020-259-1554,387.178,261.878,117.320,50.45,38.09,9.27,0.03,1.207,0.833,1.176
2020-259-1555,381.167,257.172,116.070,57.88,37.96,8.86,0.029,1.156,0.581,0.882
2020-259-1556,375.151,252.658,114.977,57.72,37.99,8.7,0.028,1.133,0.985,1.47
2020-259-1557,364.948,246.876,114.104,62.28,37.94,8.62,0.028,1.117,1.093,1.764
2020-259-1558,359.718,242.493,112.783,65.25,37.94,8.71,0.028,1.124,0.859,1.372
2020-259-1559,357.214,238.827,111.167,68.65,38.02,8.89,0.028,1.138,0.776,1.274
2020-259-1600,357.819,237.010,110.281,75.11,38.08,8.96,0.029,1.143,1.442,2.842
2020-259-1601,352.351,233.825,110.166,73.38,37.89,8.85,0.028,1.124,1.637,2.548
2020-259-1602,349.061,230.693,109.315,64.38,37.88,8.72,0.028,1.106,1.625,2.352
2020-259-1603,343.406,226.464,108.160,56.88,37.91,8.57,0.027,1.084,1.129,1.666
2020-259-1604,335.768,222.109,107.528,58.9,37.92,8.42,0.027,1.063,2.506,3.234
2020-259-1605,331.629,219.467,107.374,50.23,37.78,8.31,0.026,1.045,2.107,2.744
2020-259-1606,325.250,215.642,106.759,45.4,37.61,8.17,0.026,1.025,2.194,2.646
2020-259-1607,317.912,211.806,106.415,41.37,37.43,8.03,0.025,1.006,1.991,2.548
2020-259-1608,315.950,205.981,102.272,46.57,37.39,7.925,0.025,0.989,1.581,2.058
2020-259-1609,316.979,181.548,78.5378,51.7,37.43,7.834,0.024,0.975,1.222,1.862
2020-259-1610,308.152,156.211,57.0768,52.44,37.54,7.696,0.024,0.955,1.183,1.862
2020-259-1611,295.834,143.905,49.7028,59.98,37.69,7.542,0.023,0.934,1.313,2.156
2020-259-1612,288.440,134.830,43.9312,60.8,37.77,7.413,0.023,0.916,1.617,2.254
2020-259-1613,290.449,117.477,26.8985,66.92,37.69,7.323,0.023,0.902,2.411,3.626
2020-259-1614,290.400,101.618,12.0124,64.72,37.7,7.229,0.022,0.888,1.581,2.646
2020-259-1615,289.913,118.947,30.4486,62.93,37.72,7.129,0.022,0.873,1.579,2.646
2020-259-1616,283.82,148.217,62.5153,58.16,37.77,7.006,0.021,0.856,2.029,3.038
2020-259-1617,275.807,167.874,85.5027,58.74,37.68,6.879,0.021,0.838,1.88,2.842
2020-259-1618,271.411,149.565,69.4071,55.41,37.59,6.767,0.021,0.822,1.769,2.744
2020-259-1619,269.937,145.875,67.0484,56.15,37.55,6.67,0.02,0.807,2.298,2.94
2020-259-1620,269.645,164.769,86.9256,56.75,37.49,6.574,0.02,0.793,1.95,2.646
2020-259-1621,278.313,171.494,92.0773,58,37.49,6.501,0.02,0.782,1.798,2.352
2020-259-1622,279.155,170.263,91.5320,60.95,37.55,6.407,0.019,0.769,1.738,2.254
2020-259-1623,271.518,166.695,91.0215,59.53,37.5,6.288,0.019,0.752,1.405,2.058
2020-259-1624,256.829,160.510,89.7853,57.77,37.47,6.154,0.018,0.734,1.135,1.666
2020-259-1625,246.18,155.045,88.0801,61.45,37.49,6.031,0.018,0.718,1.503,1.862
2020-259-1626,242.252,151.778,86.6960,62.42,37.5,5.925,0.018,0.703,1.377,2.254
2020-259-1627,240.152,149.015,85.3062,62.65,37.58,5.826,0.017,0.689,0.56,1.176
2020-259-1628,241.202,147.176,83.9969,74,37.58,5.735,0.017,0.677,1.276,1.96
2020-259-1629,239.312,145.154,83.2726,68.25,37.49,5.641,0.017,0.664,0.991,1.862
2020-259-1630,238.923,143.024,82.0490,59.41,37.5,5.547,0.016,0.651,1.735,2.548
2020-259-1631,237.908,141.155,81.2401,63.77,37.56,5.456,0.016,0.638,1.852,2.646
2020-259-1632,235.300,138.889,80.4282,68.11,37.54,5.362,0.016,0.625,1.612,2.45
2020-259-1633,234.542,136.861,79.3811,73.21,37.41,5.266,0.015,0.612,1.558,1.96
2020-259-1634,234.103,135.129,78.5473,76.71,37.29,5.172,0.015,0.6,1.308,1.568
2020-259-1635,233.630,133.227,77.5508,71.81,37.28,5.08,0.015,0.587,0.924,1.274
2020-259-1636,232.523,130.876,76.2510,57.47,37.35,4.988,0.014,0.575,0.681,0.882
2020-259-1637,232.454,128.512,74.6935,74.38,37.4,4.895,0.014,0.563,0.75,1.176
2020-259-1638,227.454,125.075,73.1885,16.49,37.52,4.798,0.014,0.55,0.149,0.49
2020-259-1639,223.698,121.952,71.6838,49.89,37.54,4.706,0.013,0.538,1.153,1.764
2020-259-1640,221.089,119.573,70.6425,57.28,37.4,4.613,0.013,0.526,0.866,1.372
2020-259-1641,219.914,117.185,69.2641,67.43,37.38,4.526,0.013,0.514,0.67,0.882
2020-259-1642,217.715,114.792,68.0908,76.25,37.4,4.432,0.013,0.502,1.05,1.568
2020-259-1643,213.966,112.305,67.1407,76.95,37.38,4.33,0.012,0.489,0.64,1.078
2020-259-1644,210.355,109.599,65.9153,77.61,37.36,4.23,0.012,0.477,0.797,1.274
2020-259-1645,209.632,107.496,64.6799,71.54,37.37,4.138,0.012,0.466,1.514,2.254
2020-259-1646,209.409,105.923,63.8668,70.98,37.3,4.05,0.011,0.455,1.455,2.058
2020-259-1647,206.245,103.647,62.9323,75.88,37.35,3.968,0.011,0.444,1.142,1.568
2020-259-1648,202.545,101.147,61.8570,75.88,37.39,3.883,0.011,0.434,1.223,1.47
2020-259-1649,203.407,99.5315,60.7750,62.2,37.39,3.798,0.011,0.422,0.946,1.372
2020-259-1650,202.697,97.5695,59.6417,58.2,37.39,3.714,0.01,0.413,1.341,2.058
2020-259-1651,197.745,94.8957,58.5721,59.54,37.37,3.629,0.01,0.402,1.491,1.96
2020-259-1652,192.946,92.2406,57.4616,48.19,37.3,3.546,0.01,0.392,1.163,1.666
2020-259-1653,188.911,89.6651,56.2624,53.39,37.28,3.465,0.01,0.381,0.777,1.176
2020-259-1654,186.476,87.2909,54.9627,51.01,37.26,3.383,0.009,0.371,1.318,1.764
2020-259-1655,184.264,85.2258,53.9153,57.29,37.24,3.299,0.009,0.361,1.911,2.548
2020-259-1656,174.735,81.9573,52.8655,61.7,37.27,3.219,0.009,0.352,2.045,2.744
2020-259-1657,166.778,72.4190,45.2276,59.51,37.23,3.141,0.009,0.342,2.127,2.352
2020-259-1658,163.313,58.2778,32.2141,62.66,37.19,3.062,0.008,0.333,1.775,2.156
2020-259-1659,159.662,50.4066,25.4753,58.98,37.19,2.982,0.008,0.323,0.923,1.372
2020-259-1700,156.052,48.8894,25.0624,55.13,37.19,2.907,0.008,0.314,0.609,0.882
2020-259-1701,153.757,47.5972,24.6505,54.24,37.13,2.829,0.008,0.305,0.544,1.078
2020-259-1702,147.796,46.0942,24.5471,76.38,37.15,2.753,0.007,0.296,0.57,0.882
2020-259-1703,144.75,44.7504,24.1457,79.14,37.18,2.678,0.007,0.287,0.973,1.274
2020-259-1704,143.783,43.6173,23.6483,82.7,37.19,2.604,0.007,0.278,0.407,0.98
2020-259-1705,147.407,44.3196,24.3565,74.09,37.19,2.527,0.007,0.269,0.098,0.098
2020-259-1706,120.615,46.8013,30.8652,76.62,37.21,2.453,0.007,0.261,0.601,0.98
2020-259-1707,45.4538,43.2567,37.3970,82.4,37.25,2.383,0.006,0.253,1.201,1.96
2020-259-1708,41.9134,43.1629,37.9290,76.95,37.2,2.31,0.006,0.244,1.607,2.156
2020-259-1709,31.9532,41.6879,37.7930,62.69,37.19,2.238,0.006,0.236,1.2,1.568
2020-259-1710,63.9134,43.7996,36.2670,53.77,37.18,2.168,0.006,0.228,0.769,1.666
2020-259-1711,67.9404,44.4223,36.6261,55.96,37.11,2.099,0.006,0.221,1.41,1.764
2020-259-1712,84.2925,44.8812,35.5120,55.53,37.1,2.027,0.005,0.212,1.372,1.764
